Date,Adj Close,Volume,NIFTY Open,Stock Open price
4/1/2015,124.459732,650074,8483.700195,127.199997
4/6/2015,123.332298,352110,8615.799805,126.800003
4/7/2015,132.891037,2074275,8684.450195,136.800003
4/8/2015,136.22435,1811574,8698.950195,139.600006
4/9/2015,133.136139,596295,8756.200195,136.350006
4/10/2015,131.126358,458206,8774.349609,134
4/13/2015,135.734146,1635562,8801.75,138.5
4/15/2015,132.44986,525209,null,135.449997
4/16/2015,134.998856,1531908,8757.049805,137.850006
4/17/2015,129.557739,622806,8698.049805,132.5
4/20/2015,126.371483,608868,8618.799805,129.550003
4/21/2015,129.606766,795173,8416.099609,133.600006
4/22/2015,130.096954,618399,8400.400391,132.300003
4/23/2015,130.636169,722152,8478.200195,133.800003
4/24/2015,124.949921,665012,8405.700195,129.399994
4/27/2015,118.871552,551065,8330.549805,122
4/28/2015,120.244087,432764,8215.549805,123.599998
4/29/2015,120.244087,354008,8274.799805,123
4/30/2015,121.32251,441488,8224.5,125.449997
5/4/2015,121.910736,533720,8230.049805,124.800003
5/5/2015,121.910736,376443,8338.400391,124.349998
5/6/2015,119.36174,475517,8316.599609,121.800003
5/7/2015,113.871597,499436,8077,117.800003
5/8/2015,113.33239,495670,8131.5,116.800003
5/11/2015,115.78334,350839,8243.200195,118.400002
5/12/2015,111.567688,476585,8326.150391,113.800003
5/13/2015,112.695137,312890,8181.549805,116
5/14/2015,114.606873,327799,8232.450195,117.449997
5/15/2015,114.067665,413834,8240.299805,116.699997
5/18/2015,113.724541,367927,8284.950195,116.300003
5/19/2015,113.479439,423365,8356.200195,116.699997
5/20/2015,112.35199,324259,8392.650391,114.550003
5/21/2015,111.567688,277951,8434.5,114.599998
5/22/2015,111.469643,385616,8432.5,114.150002
5/25/2015,110.244171,374241,8438.150391,113
5/26/2015,109.901039,341160,8377.099609,110.400002
5/27/2015,109.165741,382591,8302.75,111.900002
5/28/2015,113.08728,1974187,8345.700195,114
5/29/2015,109.165741,749493,8327.099609,112.349998
6/1/2015,111.224548,1054954,8417.25,113.949997
6/2/2015,108.822609,490895,8442.799805,111
6/3/2015,106.07753,572247,8232.450195,109.599998
6/4/2015,105.244217,423448,8155.149902,106.900002
6/5/2015,104.705009,526235,8119.149902,107.199997
6/8/2015,104.01873,510196,8124.350098,106
6/9/2015,102.842278,381419,8026.5,105.400002
6/10/2015,103.528542,375824,8024.149902,106.900002
6/11/2015,101.95993,549763,8157.299805,104.300003
6/12/2015,100.832489,462380,7959.850098,103
6/15/2015,100.783478,435238,7986.600098,103.449997
6/16/2015,101.371696,367643,8004.200195,104.050003
6/17/2015,104.410889,664623,8084.200195,107
6/18/2015,104.214821,476257,8113.700195,107.5
6/19/2015,112.793175,3616656,8201.150391,115.75
6/22/2015,117.30294,2208545,8259.299805,120
6/23/2015,117.597038,1112159,8377.450195,120.400002
6/24/2015,117.351952,1668091,8399.400391,120.400002
6/25/2015,120.342125,868845,8336.25,122.5
6/26/2015,121.861725,1105447,8393.950195,120
6/29/2015,116.322556,860350,8247.049805,119
6/30/2015,117.84214,721425,8316.349609,120.400002
7/1/2015,122.008774,2572322,8376.25,125.400002
7/2/2015,132.596909,4120976,8471.950195,135.949997
7/3/2015,129.851837,1185583,8440.099609,129.800003
7/6/2015,135.587112,1680427,8386.150391,139
7/7/2015,134.949844,998597,8525.5,134.899994
7/8/2015,129.312622,1038395,8439.200195,132.5
7/9/2015,128.332245,422525,8364.849609,132
7/10/2015,127.449921,525383,8365.700195,131.199997
7/13/2015,131.028305,693915,8397.25,134
7/14/2015,131.420471,763059,8470.599609,134.149994
7/15/2015,133.822403,931243,8463.400391,136.75
7/16/2015,133.087112,464764,8546.150391,135.949997
7/17/2015,131.273392,606289,8623.650391,137.899994
7/20/2015,133.430267,396374,8623.900391,136
7/21/2015,134.312592,2075031,8601.5,136.399994
7/22/2015,137.645905,976002,8512.25,140.399994
7/23/2015,141.567429,1522400,8643.950195,150
7/24/2015,141.665466,2565707,8588.150391,144.699997
7/27/2015,142.057617,1256338,8492.099609,145.149994
7/28/2015,138.724319,705265,8371.099609,142.300003
7/29/2015,135.783188,569968,8365.599609,139.5
7/30/2015,136.763565,798487,8417,140.399994
7/31/2015,138.675293,903085,8456.099609,141
8/3/2015,137.057663,631864,8510.650391,139.949997
8/4/2015,146.567398,3500723,8564.099609,150.199997
8/5/2015,148.430115,2377800,8547.450195,151.850006
8/6/2015,154.900665,5235843,8585.799805,158
8/7/2015,159.312378,6853324,8580.799805,163
8/10/2015,156.665359,2116666,8577,159.800003
8/11/2015,151.959488,879097,8548.450195,156
8/12/2015,151.616348,2155711,8445.700195,155.300003
8/13/2015,150.194824,871352,8384.450195,154.149994
8/14/2015,154.900665,931839,8402.349609,158.75
8/17/2015,151.028168,604264,8530.5,155
8/18/2015,166.02803,3897871,8505.849609,167.449997
8/19/2015,164.900558,3456645,8468.049805,167
8/20/2015,157.106522,1158132,8471.049805,155.050003
8/21/2015,163.380981,2612725,8305.400391,158.100006
8/24/2015,140.145874,2999324,8055.950195,148
8/25/2015,142.008621,1887823,7895.399902,143.399994
8/26/2015,141.763519,929074,7865.25,147.800003
8/27/2015,168.086838,4448718,7921.600098,174.5
8/28/2015,163.920197,4675731,8053.700195,166.600006
8/31/2015,171.322098,5072274,8009.25,172
9/1/2015,161.51825,2337353,7907.950195,166.899994
9/2/2015,167.302505,3299757,7856.649902,172
9/3/2015,167.796173,1578011,7774.450195,169
9/4/2015,161.427933,1520660,7803.399902,164.300003
9/7/2015,154.763458,950879,7685.850098,157.899994
9/8/2015,155.503952,1425925,7587.700195,160.75
9/9/2015,156.293823,1403414,7805.850098,155
9/10/2015,154.763458,889282,7729.049805,158.300003
9/11/2015,154.269791,1088580,7833.799805,156.449997
9/14/2015,153.529312,566044,7811.100098,155.550003
9/15/2015,158.268478,2785982,7867.350098,162.899994
9/16/2015,156.639389,1300106,7886.850098,160.75
9/18/2015,154.81282,855904,7967.450195,156
9/21/2015,159.107697,957399,7911.5,161
9/22/2015,154.763458,749474,8014.799805,154.800003
9/23/2015,153.726746,753101,7737.350098,154.800003
9/24/2015,154.960922,669966,7838.399902,156.25
9/28/2015,151.060989,465347,7892.799805,150.600006
9/29/2015,150.764801,692593,7725.700195,153.600006
9/30/2015,150.814148,612220,7924.25,153.550003
10/1/2015,152.393875,950005,7992.049805,154.850006
10/5/2015,152.838181,629727,8005.100098,155.899994
10/6/2015,160.04567,2516191,8180.450195,163.25
10/7/2015,158.070999,1231217,8146.200195,160.050003
10/8/2015,161.230453,1764142,8196.75,166
10/9/2015,161.92157,1173348,8186.350098,165.5
10/12/2015,161.872208,908877,8231.5,163.25
10/13/2015,160.786163,448114,8121.950195,162.850006
10/14/2015,163.056992,2203487,8102.399902,166.75
10/15/2015,164.686096,1430446,8134.350098,167.350006
10/16/2015,167.894928,1907325,8193.650391,170.850006
10/19/2015,176.632736,3314968,8262.549805,181.699997
10/20/2015,175.645432,1865787,8280.299805,178
10/21/2015,184.136429,3478983,8258.349609,187.899994
10/23/2015,178.508667,1519448,8308.25,181.449997
10/26/2015,177.91629,1705608,8333.650391,179.25
10/27/2015,176.632736,884387,8230.349609,177.899994
10/28/2015,178.015015,1331509,8188.899902,179.899994
10/29/2015,175.546692,575876,8175.450195,178.350006
10/30/2015,173.966965,2030393,8123.549805,176.699997
11/2/2015,170.708771,3290445,8054.549805,173.899994
11/3/2015,163.846863,1100664,8086.350098,167.449997
11/4/2015,159.749466,909496,8104.899902,161.949997
11/5/2015,156.590027,896363,8030.350098,160
11/6/2015,152.295151,712916,7956.549805,149.75
11/9/2015,156.392532,816239,7788.25,157.600006
11/10/2015,154.664719,713407,7877.600098,159.449997
11/13/2015,160.687408,1004254,7762.450195,161.949997
11/16/2015,158.51532,473049,7732.950195,161.5
11/17/2015,159.749466,905380,7848.75,162
11/18/2015,157.034317,436070,7823.149902,160.399994
11/19/2015,159.453262,348244,7788.5,161.699997
11/20/2015,160.243134,473104,7841.899902,162.550003
11/23/2015,165.525314,1156894,7869.5,167.199997
11/24/2015,166.364532,684192,7837,168.25
11/26/2015,165.229141,299641,7837.149902,167.449997
11/27/2015,162.662079,356401,7910.600098,164.949997
11/30/2015,172.485977,1820630,7936.25,175.100006
12/1/2015,169.474625,930802,7958.149902,172
12/2/2015,165.179764,590431,7976.700195,165.75
12/3/2015,166.315186,639027,7902.299805,166.899994
12/4/2015,161.970947,429776,7817.600098,165.699997
12/7/2015,162.36586,262093,7816.549805,164.25
12/8/2015,157.725449,303991,7738.5,159.699997
12/9/2015,151.455933,433932,7695.5,153.850006
12/10/2015,154.763458,342467,7643.299805,157.100006
12/11/2015,152.097687,435787,7699.600098,152.75
12/14/2015,150.863525,463706,7558.200195,153.600006
12/15/2015,154.46727,445292,7659.149902,157.050003
12/16/2015,152.788803,468260,7725.25,156.149994
12/17/2015,158.317856,503518,7783.049805,160.350006
12/18/2015,157.478622,667174,7828.899902,159.800003
12/21/2015,159.4039,403470,7745.649902,162.100006
12/22/2015,158.712784,371345,7829.399902,160.75
12/23/2015,164.537979,917617,7830.450195,167.149994
